model,regime,directional_accuracy,sharpe_ratio,rmse,mae,r2_score,mape,max_drawdown,calmar_ratio,directional_accuracy_ci_lower,directional_accuracy_ci_upper,n_test
all_features,covid_crash,0.53125,1.6362975745491908,0.053000291161198594,0.038408444048957886,0.07263473883078109,1.8466007147741357,-0.4661428309916866,5.936772940791712,0.4453125,0.6171875,128
all_features,current_bull,0.43731778425655976,-1.112274835788604,0.02001690391209108,0.016347682400160816,-0.5374742645688588,2654.40209228702,-0.6648014924551983,-0.6723593190190579,0.38768221574344025,0.4869533527696792,343
all_features,gfc_recovery,0.46234676007005254,-0.7514559821981289,0.043046650186720194,0.034306900919071244,-1.0370775263098362,5885.312221027441,-0.9658658427538352,-0.6281902920394288,0.4343257443082312,0.4903896672504378,1142
all_features,pre_demonetisation,0.5606469002695418,0.36050966525649747,0.022355107473996567,0.01678354250807675,-0.11415729453680457,3349.7942403347,-0.3927169499141936,0.6523866497445999,0.5094339622641509,0.6091644204851752,371
all_features,rate_hike_rbi,0.45103092783505155,-1.2429808768182462,0.022923755499022782,0.01791361508353187,-0.1657589018498371,2596.1505116057306,-0.702931452324968,-0.9461500019852844,0.40463917525773196,0.49742268041237114,388
all_features,recovery_covid,0.5106382978723404,-0.340872239887987,0.040963429609827705,0.02273905280554446,-0.12357333558731343,1.5680548505609553,-0.5899685913733608,-0.27348031350170005,0.45095744680851063,0.574468085106383,235
all_features,recovery_india,0.4933530280649926,0.3997644586021094,0.020339142384048017,0.016205941518576364,-0.20394474972651633,3146.8229705408557,-0.5097240084883398,0.5165460528291448,0.4534711964549483,0.5302806499261448,677
buy_and_hold,covid_crash,0.4921875,-0.7942142198998556,0.057100289968951015,0.039414559603873627,-0.07639318602112088,2.2653229396530934,-0.8919181100230582,-1.47252264450821,0.40625,0.578125,128
buy_and_hold,current_bull,0.6005830903790087,1.7090274295530177,0.017474367976334632,0.013327167328164037,-0.17170153765968332,2918.593908776771,-0.2970496514892119,2.8086171505203783,0.5451895043731778,0.6502186588921282,343
buy_and_hold,gfc_recovery,0.5455341506129597,0.7773584321734853,0.030999799029416332,0.023443867287443767,-0.056444270261099216,3504.602056518044,-0.8078704717156784,0.8841740445773376,0.5166374781085814,0.574430823117338,1142
buy_and_hold,pre_demonetisation,0.5849056603773585,1.9767491869864509,0.02177591193656704,0.017005911175845725,-0.05717208487980696,10784.37605401383,-0.5304855601766685,2.344770014190475,0.5336927223719676,0.6361185983827493,371
buy_and_hold,rate_hike_rbi,0.5824742268041238,0.38451368336819064,0.023016237645666168,0.01742665794649309,-0.17518400328546124,2580.018938275942,-0.5874634198431385,0.47766881326960997,0.5360824742268041,0.634020618556701,388
buy_and_hold,recovery_covid,0.6085106382978723,2.4183335872359555,0.038656838763919274,0.02165269495907536,-0.0006022506106257985,2.0844467696318563,-0.35252750959395507,7.826319067993804,0.5404255319148936,0.6680851063829787,235
buy_and_hold,recovery_india,0.6026587887740029,1.0001418997993567,0.020083143161494302,0.014976181624402275,-0.17382850649849435,2957.1888032464417,-0.514127108218943,1.113425065145343,0.5672082717872969,0.638109305760709,677
granger_only,covid_crash,0.53125,2.0248104396493907,0.05479917546883449,0.04098218663776163,0.008614961719343839,2.440867488463553,-0.5878764392704372,5.7273817951431,0.453125,0.6171875,128
granger_only,current_bull,0.48104956268221577,-0.1724508169608013,0.017571641111379235,0.014169666227051764,-0.18478267569488183,512.769387478157,-0.6425657465962392,-0.0385068857891908,0.42857142857142855,0.5335276967930029,343
granger_only,gfc_recovery,0.5192644483362522,-0.15453081806647753,0.041365966586411784,0.03299849245728731,-0.8811143177228775,7033.707536001646,-0.7850203715542332,-0.08047466271885616,0.4886164623467601,0.5490367775831874,1142
granger_only,pre_demonetisation,0.5013477088948787,-0.59027971151707,0.021823667920491226,0.016480570075384466,-0.06181406296013936,1513.240069610817,-0.6080053756004083,-0.42850108309776647,0.4501347708894879,0.555256064690027,371
